No.;Описание;Описание 2
0000000523;TXS бар код Re. 543712444;K694J01J400-01
0000000542;Set parts for test equipment;cables for LP9505
0000000893;пробен артикул;223214
0000001072;LX95 Square Plate;HV, 18Ah Battery
0000001088;lhll;lhll
0000001089;LX95 Square Plate;HV, 17Ah Battery
0000001295;gasket 1.2mm for Hatz 1D50;4102600
0000001345;ХИДРАВЛИЧНА ТРЪБА;HYDRAULIC PIPE
0000001352;Silver KitT LF 75;
0000001374;;
0000001775;;HOOK Lifting eye LFe 60
0000001797;;
0000001987;стрелка -оранжева;Injected Colored Arrow:ORANGE
0000002031;CORE BLADE : 0328 24SLOT 328*2.4*25.4;
0000002126;Лост;
0000002164;зарядно у-во за батерия Honda eGX EU, LFe60;
000110640;GRIND WHEEL HOLDER w/o O-RING;STEEL MACH Merx Svenska AB
000110641;GRIND WHEEL HOLDER 5/8 NO RING;STEEL MACH Merx Svenska AB
000112633;THREAD REDUCER M32-M20 NYLON;SELGA AB Ref. 14 772 67
000112678;REDUCER M20-M16 THR. BRASS+NI;SELGA AB Ref. 14 764 33
000112752;TOP CROSS SPRING HOLDER;STEEL THIN Mekanotjänst
000112903;PUSH VALVE MIDDLE PART;STEEL THIN Mekanotjänst
000113713;GRIND HOLDER CARDAN CMPL 230SP;ASSEMBLED, SERVICE ONLY
000113917;GRIND HOLDER CARDAN CMPL 270SP;ASSEMBLED, HTC SERVICE ONLY
000113927;ELECTRICS 800 RXP;ASSEMBLED, HTC REGULAR
000113944;BACK HTC T6 PRESS-KANBAN;ASSEMBLED UNIT F. REGULAR SERVICE
000113945;BACK HTC X6 PRESS-KANBAN;ASSEMBLED UNIT F. REGULAR SERVICE
000113946;BACK HTC T8 PRESS-KANBAN;ASSEMBLED UNIT F. REGULAR SERVICE
000113947;BACK HTC X8 PRESS-KANBAN;ASSEMBLED UNIT F. REGULAR SERVICE
000113948;BACK HTC T5 PRESS-KANBAN;ASSEMBLED UNIT F. REGULAR SERVICE
000113984;Electrics 270 EG 110V;1.5 kW US VERSION, SERVICE ONLY
000150232;НИВОМЕР ЗА ВОДА;OEM Automatic Ref. 50020527
000150243;END PLUG;Wiberger Ref. SFL32
000213155;TOOL ADAPTER BHT 150MM;STEEL THIN Merx Svenska AB
000214044;HUSQVARNA BHT 270 BOX;273X273X55 Boxon Pak 109734HVA
000214045;HUSQVARNA BHT 230 BOX;233X233X55 Boxon Pak 109733HVA
0002216086;O-RING 20X5, NBR 70;2 amplitude compactor
0002216120;O-RING 240X3, NBR 70;2 amplitude compactor
0002888065;табелка husqvarna 60x36;FS400
0002891348;стойка дървена BT90;чам или топола BT90 PALLET UPGRADE
0002891349;стойка дървена SVE, SVG Sections;чам или топола SV PALLET UPGRADE
0002891417;распорка дървена BT90;wooden bar BT90 PALLET UPGRADE
0002891418;распорка дървена SVE, SVG Sections;wooden bar SV SECTIONS, PALLET UPGRADE
000310604;ВИНТ MC6S M8X20 8.8 FZB DRI-LOC;ISO 4762 FAST Techno Skruv
000500929;ZIP TIES HOLDER;STEEL THIN Bridge to China
000502811;TANK SHELF HTC 800 RXP;STEEL THIN AB Maskinarbeten = 595708302
